Original;French_normalise
Cockburn's White Heights Port;Porto blanc
Coconut milk;Lait de coco
Coconut oil;Huile de coco
Coconut rum liqueur (35-40% alc./vol.);Liqueur de rhum coco (35-40%)
Coconut sorbet;Sorbet coco
Coconut sugar syrup;Sirop de sucre de coco
Coconut water;Eau de coco
Coffee bitters;Bitters café
Coffee ice cream;Glace au café
Coffee Schnapps liqueur;Liqueur de café (schnapps)
Cognac (brandy);Cognac
Cola (e.g. Coca-Cola or Pepsi);Cola
Cola syrup (homemade);Sirop de cola
Cold black breakfast tea;Thé noir
Cold black tea;Thé noir
Cold brew coffee;Café
Condensed milk;Lait concentré
Coriander seeds;Graines de coriandre
Coriander/Cilantro leaves;Feuilles de coriandre
Corn/maize liqueur;Liqueur de mais
Cr�me brul�e/caramel syrups;Sirop caramel
Cr�me de noyau liqueur;Liqueur de noyau (amande/abricot)
Cr�me de violette liqueur;Liqueur de violette
Cr�me Yvette liqueur;Liqueur fruits rouges
Cranberries (fresh);Cranberries
Cranberry & morello cherry puree;Purée Cranberries
Cranberry bitters;Bitters Cranberries
Cranberry flavoured vodka;Vodka canneberge
Cranberry juice (sweetened);Jus de cranberries
Cranberry liqueur;Liqueur de cranberries
Cream of coconut (e.g. Coco Lopez, Re'al etc.);Crème de coco
Cream soda (vanilla soda);Soda vanille
Cucumber (fresh);Concombre
Cucumber flavoured vodka;Vodka concombre
Cucumber juice (freshly extracted);Jus de concombre 
Cucumber syrup;Sirop de concombre
Cucumber tonic water;Tonic concombre
Curry leaf;Feuille de curry
Cynar or other carciofo amaro;Amaro
Dale DeGroff's Pimento bitters;Bitters piment
Damson jam (preserve);Confiture de prunes 
Damson liqueur;Liqueur de prunes
Dandelion & Burdock Bitters;Bitters pissenlit & bardane
Dark chocolate liqueur;Liqueur de chocolat noir
Dark/black/blackstrap rum;Rhum brun
De Kuyper Apricot Brandy liqueur;Liqueur d'abricot
De Kuyper Blue Cura�ao;Curaçao
De Kuyper Brown Cr�me de Cacao;Crème de cacao
De Kuyper Cr�me de Cafe;Crème de café
De Kuyper Triple Sec (40%);Triple sec
De Kuyper Watermelon liqueur;Liqueur de pastèque
Del Maguey Vida Cl�sico Mezcal;Mezcal
Demerara / dark Muscovado / brown sugar;Sucre roux
Demerara/Muscovado/brown sugar syrup (2 sugar to 1 water);Sirop sucre
Difford's Daiquiri Bitters;Bitters Angostura
Difford's Falernum liqueur;Liqueur Falernum
Difford's Margarita Bitters;Bitters Angostura
Dijon Mustard;Moutarde de Dijon
Disaronno amaretto;Amaretto
Dolin Chamberyzette;Vermouth à la fraise
Double cream / heavy cream;Crème double épaisse
Dry cider;Cidre brut
Dubonnet, Byrrh etc. rouge light quinquina;Quinquina rouge (type Dubonnet/Byrrh)
Dunkel / dark / black lager;Bière lager
Dutch Cacao white cr�me de cacao;Crème de cacao blanche
Earl Grey tea (cold);Thé noir
Egg (white & yolk);oeuf entier
Egg white;Blanc d'oeuf
Egg white (pasteurised);Blanc d'oeuf
Egg yolk;Jaune d'oeuf
Elderflower cordial;Sirop fleur de sureau
Elderflower liqueur;Liqueur de fleur de sureau
Elderflower press�;Soda fleur de sureau (soda)
Elderflower syrup;Sirop de sureau
Elixir liqueur;Liqueur élixir (herbes)
Energy drink (carbonated);Boisson énergisante gazeuse
Evaporated milk (sweetened);Lait évaporé
Expr� Caff� Italiano (or freshly made hot Espresso Coffee);Expresso
Fee Brothers Celery bitters;Bitters céleri (Fee Brothers)
Fee Brothers Lemon Bitters;Bitters citron (Fee Brothers)
Feijoa flavoured vodka;Vodka aromatisée feijoa
Fennel seeds;Graines de fenouil
Fennel tea;Thé de fenouil
Fernet Branca liqueur;Amaro
Ferro China Baliva;Amaro
Fig liqueur (cr�me de figue);Liqueur de figue
Fig syrup;Sirop de figue
Figs;Figues
Filter coffee (hot);Café
Fiol Extra Dry Prosecco;Prosecco extra dry (Fiol)
Fish sauce;Sauce poisson (nuoc mam)
Framboise/raspberry eau-de-vie;Eau-de-vie framboise
French press/cafeti�re coffee;Café
Fresh dill;Aneth
Fresh ginger root (thumbnail-sized slice);Gingembre
Fresh or tinned apricot;Abricot
Fresh red onion;Oignon rouge
Fresh ripe peach (skinned & diced);Pêche
Fresh tarragon (estragon);Estragon
Fresh thyme;Thym
