Original;French_normalise
Melon (Cantaloupe);Melon
Melon (Honeydew);Melon d'eau
Metaxa Ouzo;Ouzo
Mexican corn whisky;Whisky
Mieleaceto Apicoltura Gianni Castellari (acacia honey & balsamic;Miel
Milk (whole milk/full 3-4% fat);Lait entier
Mimosa syrup;Sirop mimosa
Mincemeat;Mincemeat (mélange fruits secs/épices)
Mint (fresh) sprigs;Tiges de menthe fraiche
Mint leaves;Feuilles de menthe
Mirabelle (yellow plum) eau-de-vie;Eau-de-vie de mirabelle
Mozart Chocolate Vodka;Vodka chocolat
Mulberry jam;Confiture de mure blanche
Muscat (Rutherglen) wine;Vin rouge
Muyu Chinotto Nero liqueur;Liqueur Muyu Chinotto Nero
Muyu Jasmine Verte liqueur;Liqueur Muyu Jasmine Verte
Nardini Rosso;Amaro
Navy rum (ideally 54.5% alc./vol.);Rhum brun
Nettle cordial;Sirop d'ortie
Nonino AnticaCuv�e Riserva 5 Year Old Grappa;Grappa Nonino AnticaCuvée 5 ans
Nonino Il Moscato Grappa Monovitigno;Grappa Nonino Il Moscato
O/Purist Tsipouro;Tsipouro (O/Purist)
Oak aged gin;Gin
Oak Smoked Vodka;Vodka
Oat milk / oatmeal water;Lait d'avoine
Old-fashioned / old time bitters;Bitters Old-Fashioned
Olive bitters;Bitters olive
Olive brine (from jarred olives);Saumure d'olive
Olive lemonade;Limonade à l'olive
Oolong tea;Thé oolong
Orange (fresh);Orange
Orange Bitters by Angostura;Bitters Angostura
Orange Bitters by Angostura ;Bitters Angostura
Orange blossom water / Orange flower water;Eau de fleur d'oranger
Orange cream citrate;Citrate crème d'orange
Orange Cura�ao liqueur;Curaçao
Orange curd;Confiture d'orange
Orange flavoured soda water;Eau gazeuse
Orange juice (freshly squeezed);Jus d'orange
Orange marmalade;Marmelade d'orange
Orange peel;Zeste d'orange
Orange sherbet;Sherbet orange (sirop agrumes lacté)
Orange zest/swath;Zeste d'orange
Oregano (fresh);Origan
Oreo cookies;Biscuits Oreo
Orgeat (almond) sugar syrup (2:1);Sirop d'orgeat
Orinoco bitters;Bitters Orinoco
Oude genever;Genièvre vieux
Overproof aged pot still rum (high-ester 4-6 years old);Rhum brun
Overproof white rum (unaged Jamaican/funky);Rhum blanc
Pacharan liqueur;Liqueur Pacharan (prunelle & anis)
Pale ale;Bière blanche
Pallini Limoncello liqueur;Limoncello
Pandan sugar syrup;Sirop de pandan
Paprika powder;Paprika en poudre
Passion fruit (fresh);Fruit de la passion
Passion fruit juice;Jus de fruit de la passion
Passion fruit pur�e;Purée de fruit de la passion
Passion fruit syrup;Sirop de fruit de la passion
Passo� passion fruit liqueur;Passoa
Pastis;Pastis
Patr�n A�ejo tequila;Tequila
Patr�n Reposado tequila;Tequila
Patr�n Silver blanco tequila;Tequila
Patron Citronge;Liqueur d'orange
Peach aperitif liqueur;Liqueur de pêche
Peach bitters;Bitters pêche
Peach pur�e;Purée de pêche
Peach schnapps liqueur;Liqueur schnapps pêche
Peach tea;Thé à la pêche
Peanut butter;Beurre de cacahuète
Pear bitters;Bitters poire
Pear juice (freshly pressed);Jus de poire frais
Pear pur�e;Purée de poire
Pecan bitters;Bitters noix de pécan
Pecan liqueur;Liqueur de pécan
Peppercorn syrup 1:1 (homemade);Sirop au poivre
Peychaud's or other Creole-style bitters;Bitters Angostura
Physalis / cape gooseberry fruits;Physalis (amour en cage)
Pickle juice/brine/vinegar from pickled cucumber/gherkin;Vinaigre de cornichon
Pickle salt;Sel
Picon Biere;Picon
Pilsner lager;Bière blonde
Pimento dram/Allspice liqueur;Liqueur de piment
Pine liqueur;Liqueur de pin
Pineapple (fresh);Ananas 
Pineapple flavoured vodka;Vodka aromatisée ananas
Pineapple jam;Confiture d'ananas
Pineapple juice;Jus d'ananas
Pineapple marinade syrup;Sirop de marinade d'ananas
Pineapple puree;Purée d"ananas
Pineapple rum;Rhum à l'ananas
Pineapple shrub;Shrub d'ananas
Pineapple sugar syrup;Sirop de sucre à l'ananas
Pineapple verdita;Verdita à l'ananas
Pineau des Charentes blanc;Pineau des Charentes blanc
Pineau des Charentes rouge;Pineau des Charentes rouge
Pink grapefruit (pamplemousse rose) syrup;Sirop de pamplemousse rose
Pink grapefruit juice (freshly squeezed);Jus de pamplemousse rose
Pink peppercorns;Poivre rose
