Original;French_normalise
Sparkling apple juice;Jus de pomme pétillant
Sparkling coconut water;Eau de coco pétillante
Speyside single malt Scotch whisky;Whisky
Spiced apple bitters;Bitters pomme épicée
Spiced gin;Gin
Spiced Pear liqueur;Liqueur de poire épicée
Spinach leaves;Feuilles d'épinards
Star anise;Anis étoilé
Stout beer;Bière blonde
Straight rye whiskey (100 proof /50% alc./vol.);Whiskey
Strawberries (hulled, small & ripe);Fraises
Strawberry candy (bonbon) syrup;Sirop bonbon fraise
Strawberry flavoured vodka;Vodka aromatisée fraise
Strawberry puree;Purée de fraise
Strawberry sugar syrup;Sirop de sucre à la fraise
Strucchi Bianco Vermouth;Vermouth blanc
Strucchi Dry Vermouth;Vermouth blanc
Strucchi Red Bitter (Campari-style liqueur);Campari
Strucchi Rosso Vermouth;Vermouth rouge
Sugar cube (brown/demerara);Sucre roux
Sugar cube (white);Sucre
Sugar snap peas;Pois mange-tout (sugar snap)
Sugar syrup 'rich' (2 sugar to 1 water, 65.0�Brix);Sirop de sucre
Sugar syrup 'simple' (1 sugar to 1 water, 48�Brix);Sirop de sucre
Sugar-free sweetener syrup;Sirop de sucre
Superfine/Caster/Baker's special sugar (white);Sucre
Swedish Punsch liqueur;Liqueur Swedish Punsch
Sweet tea vodka;Vodka au thé sucré
Sweetcorn (canned);Maïs
Syrup from Luxardo Maraschino Cherries;Sirop de cerises
Tangerine / Mandarin / Clementine (fresh fruit);Mandarine
Tangerine / Mandarin / Clementine juice;Jus de mandarine
Tarragon sugar syrup (2:1);Sirop d'estragon
Tea bitters;Bitters thé
Tea syrup (Breakfast tea) 2:1);Sirop de thé
Tennessee whiskey;Whiskey
Tequila agave liqueur;Tequila
Thai basil leaves;Basilic
Thomas Henry Bitter Lemon;Soda citron
Thomas Henry Ginger Ale;Ginger ale
Thomas Henry Ginger Beer;Ginger beer
Thomas Henry Pink Grapefruit soda;Soda pamplemousse rose
Thomas Henry Soda Water;Eau gazeuse
Thomas Henry Tonic Water;Tonic
Three Cents Aegean Tonic;Tonic
Thyme syrup;Sirop de thym
Tiki bitters;Bitters tiki
Tobacco liqueur (not homemade!);Liqueur de tabac
Tokaji Hungarian wine;Vin rouge
Tomato juice;Jus de tomate
Tomato ketchup;Ketchup
Tonic water (salty lemon);Tonic
Tonic water (smoked);Tonic fumé
Top up with;Compléter avec
Torabhaig Peated Single Malt Whisky;Whisky
Torres Aqua d'Or aguardiente;Vin blanc sec
Tuaca liqueur;Liqueur Tuaca
Turmeric bitters;Bitters curcuma
