Original;French_normalise
Freshly grated nutmeg;Muscade
Freshly squeezed lemon or lime juice;Jus de citron
Fruit cup liqueur;Liqueur fruit cup
Galander Fine mustard liqueur;Liqueur de moutarde (Galander Fine)
Galliano L'Autentico liqueur;Liqueur Galliano L'Autentico
Gentian liqueur (e.g. Suze, Salers etc);Liqueur de gentiane (type Suze/Salers)
Gewurztraminer white wine;Vin blanc sec
Giffard Banane du Br�sil liqueur;Liqueur de banane
Giffard Caramel Toffee liqueur;Liqueur caramel
Giffard Caribbean Pineapple liqueur;Liqueur ananas
Giffard Cr�me  de Framboise;Crème de framboise
Giffard Cr�me de M�re liqueur;Crème de mure
Giffard Cr�me de Myrtille liqueur;Crème de myrtille
Giffard Cr�me de P�che de Vigne liqueur;Crème de pêche
Giffard Creme de Chataigne;Crème de chataigne
Giffard Fraise des Bois liqueur;Liqueur fraise
Giffard Framboise de Ronce (raspberry liqueur);Liqueur framboise
Giffard Menthe Pastille white cr�me de menthe;Crème de menthe pastille
Giffard Mirabelle de Lorraine;Liqueur Mirabelle
Giffard Pamplemousse liqueur;Liqueur pamplemousse
Giffard Parfait Amour liqueur;Liqueur Parfait Amour (Giffard)
Giffard Peppermint Pastille cr�me de menthe;Crème de menthe
Giffard Piment d'Espelette chile liqueur;Liqueur piment
Giffard Poire William liqueur;Liqueur Poire
Giffard Rhubarbe Liqueur;Liqueur de rhubarbe
Giffard Vanille de Madagascar;Liqueur vanille
Ginger & lemongrass cordial;Sirop gingembre & citronnelle
Ginger ale, soda, tonic water or other carbonated mixer;Boisson gazeuse (ginger ale/soda/tonic)
Ginger cordial (non-alcoholic);Sirop de gingembre
Ginger jam;Confiture de gingembre
Ginger juice;Jus de gingembre
Ginger liqueur;Liqueur de gingembre
Ginger syrup;Sirop de gingembre
Ginger syrup (equal parts ginger juice to caster sugar by weight;Sirop de gingembre
Ginger wine;Vin de gingembre
Gingerbread sugar syrup;Sirop sucre pain d'épices
Ginseng liqueur;Liqueur de ginseng
Goldwasser cinnamon schnapps liqueur;Schnapps cannelle (Goldwasser)
Gomme syrup;Sirop de gomme
Gooseberry & mint cordial;Sirop groseille
Gr�ner Veltliner dry white wine;Vin blanc sec
Grain Scotch whisky;Whisky
Grand Marnier or other cognac orange liqueur;Grand Marnier
Grapefruit (fresh fruit);Pamplemousse 
Grapefruit gin;Gin au pamplemousse
Grapefruit juice (ruby red);Jus de pamplemousse rose
Grapefruit juice (white/yellow);Jus de pamplemousse blanc
Grapefruit oleo saccharum (homemade);Oleo-saccharum pamplemousse (maison)
Grapefruit preserve;Confiture de pamplemousse
Grapefruit sugar syrup (2:1);Sirop de pamplemousse
Green apple/pomme verte/Granny Smith syrup;Sirop pomme
Green banana liqueur;Liqueur de banane
Green cardamom pods;Gousses de cardamome
Green Chartreuse (or alternative herbal liqueur);Chartreuse verte
Green food colour gel;Colorant alimentaire vert (gel)
Green grapes (seedless);Raisins verts
Green hot pepper sauce;Sauce piment
Green melon liqueur;Liqueur de melon vert
Green mint (menthe verte)/Peppermint syrup;Sirop de menthe verte/poivrée
Green tea (cold);Thé vert
Green tea liqueur;Liqueur de thé
Grenadine/pomegranate syrup;sirop de grenade
Groseille (redcurrant) syrup;Sirop de groseille
Guanabana juice;Jus de corossol
Guava juice drink;Jus de goyave
Havana Club A�ejo 7 A�os Cuban Rum;Rhum brun
Havana Club A�ejo Especial Rum;Rhum brun
Havana Club Original A�ejo 3 A�os Cuban rum;Rhum blanc
Hayman's London Dry Gin;Gin
Hayman's Old Tom Gin;Gin
Hayman's Sloe Gin;Gin
Hazelnut liqueur;Liqueur de noisette
Hazelnut sugar syrup;Sirop de noisette
Heather honey;Miel
Heering Cherry Liqueur;Liqueur de cerise
Herboris Amaro Centerbe;Amaro
Hibiscus flower in syrup;Sirop d'hibiscus
Hibiscus sugar syrup;Sirop d'hibiscus
Hibiscus tea (cold);Thé hibiscus
Highland single malt scotch whisky;Whisky
Honey;Miel
Honey herbal liqueur (e.g. Drambuie);Liqueur miel & herbes (type Drambuie)
Honey sugar syrup;Sirop de sucre
Honey syrup (3 parts honey to 1 water by weight);Sirop de miel
Honey water (1:1);Eau au miel (1:1)
Hopped grapefruit bitters;Bitters pamplemousse
Horse with No Name habanero bourbon;Bourbon habanero (Horse with No Name)
Hot pepper sauce (red vinegar-based e.g. Tabasco);Tabasco
Hot water;Eau chaude
Hpnotiq Tropical liqueur;Liqueur tropicale Hpnotiq
Ice cider;Cidre de glace
India pale ale (IPA) beer;Bière IPA
International lager;Bière Blonde
Irish cream liqueur;Liqueur de crème irlandaise
Irish whiskey;Whiskey
Irn-Bru;Soda Irn-Bru
Island single malt Scotch whisky;Whisky
Italian Brandy;Cognac
Italicus liqueur;Liqueur de bergamote
Izarra Green (Vert) liqueur;Liqueur Izarra verte
