Original;French_normalise
Blackcurrant jam (preserve);Confiture de cassis
Blackcurrant juice;Jus de cassis
Blackcurrants;Cassis
Blackthorn berry liqueur;Liqueur de prunelles
Blanc quinquina/kina (e.g. Mattei Cap Corse, Bonal or Kina L'AǸr;Quinquina blanc
Blanche armagnac;Armagnac blanc
Blended Scotch whisky;Whisky
Blended/vatted Scotch malt whisky;Whisky
Blood orange juice;Jus d'orange sanguine
Blood orange liqueur;Liqueur d'orange sanguine
Bloody Mary flavoured vodka;Vodka aromatisée Bloody Mary
Blueberries (fresh);Myrtilles
Blueberry/Bilberry liqueur;Liqueur de myrtille
Bob's Abbotts bitters;Bitters Bob's Abbotts
Bob's Cardamom bitters;Bitters Bob's Cardamome
Bob's Chocolate bitters;Bitters Bob's Chocolat
Bob's Coriander Bitters;Bitters Bob's Coriandre
Bob's Ginger Bitters;Bitters Bob's Gingembre
Bob's Grapefruit Bitters;Bitters Bob's Pamplemousse
Bob's Lavender Bitters;Bitters Bob's Lavande
Bob's Liquorice bitters;Bitters Bob's R�glisse
Bob's Peppermint Bitters;Bitters Bob's Menthe poivrée
Bob's Tonka Bitters;Bitters Bob's Feve tonka
Bob's Vanilla bitters;Bitters Bob's Vanille
Boiling water;Eau bouillante
Boker's bitters;Bitters Boker's
Boston Bittahs bitters;Bitters Boston Bittahs
Bottlegreen Cox's Apple and Plum Cordial;Sirop pomme-prune (Bottlegreen)
Bourbon whiskey;Whiskey
Bourgogne AligotǸ wine white;Vin blanc sec
Brancamenta;Liqueur de menthe
Brandy, whisk(e)y, gin, rum etc.;Rhum blanc
Breakfast tea (hot);Thé noir
British bitter ale;Bière ambrée
Brut champagne/sparkling wine;Champagne
Burlesque bitters;Bitters Burlesque
Butterscotch liqueur;Liqueur caramel
Cacao & coffee spiced rum;Rhum brun
Cacha��a;Cachaça blanc
Cacha��a barrel aged 3+ years;Cachaça
Calamansi juice;Jus de calamansi
Calvados / apple brandy / straight applejack;Calvados
Canadian blended whisky;Whisky
Canadian icewine;Cidre
Canadian rye whisky;Whisky
Caorunn Gin;Gin
Caper brine (from jar);Saumure de capres
Caramel sugar syrup;Sirop de sucre caramel
Caraway seeds;Graines de carvi
Carbonated/Sparkling/Selzer mineral water;Eau gazeuse
Carpano Antica Formula Vermouth;Vermouth rouge
Carrot juice (freshly extracted);Jus de carotte
Cartron No. 7 liqueur;Liqueur fruits rouges
Cava sparkling wine;Mousseux
Cawston Press Apple & Ginger;Jus pomme-gingembre
Cayenne pepper;Piment de Cayenne
Celery juice (freshly extracted);Jus de céleri
Celery saccharum (celery syrup);Sirop de céleri
Celery salt;Sel de céleri
Celery stick (fresh);Branche de céleri
Centerbe liqueur;Liqueur aux herbes (Centerbe)
Cereal Infused Almond Milk;Lait d'amande
Chai tea (cold);Thé chai
Chairman's Reserve Spiced Rum;Rhum brun
Chamomile/Camomile liqueur;Liqueur de camomille
Chamomile/Camomile tea (cold);Thé de camomille
Chamomile/Camomile tea (hot);Thé de camomille
Chamomile/Camomile tea syrup;Sirop de camomille
Charcoal powder;Charbon actif en poudre
Chardonnay (Chablis) white wine;Vin blanc sec
Chartreuse �%lixir VǸgǸtal;Chartreuse
Cherries (destoned);Cerises
Cherry bitters;Bitters cerise
Cherry blossom/sakura syrup;Sirop de fleur de cerisier (sakura)
Cherry juice;Jus de cerise
Cherry tomato (fresh);Tomate cerise
Chianti red wine;Vin rouge
Chili flakes /red pepper flakes;Piment
Chili pepper (spicy) syrup;Sirop de piment
Chili tincture (firewater bitters);firewater bitters
Chilled water;Eau
Chinola Mango Liqueur;Liqueur de mangue (Chinola)
Chipotle oleo saccharum  (homemade);Oleo-saccharum au chipotle
Chocolate (dark) sugar syrup;Sirop de sucre au chocolat noir
Chocolate cream liqueur;Liqueur crème de chocolat
Chocolate ice cream;Glace au chocolat
Cigar syrup;Sirop aromatisé cigare/tabac
Cinnamon oleo saccharum (homemade);Oleo-saccharum cannelle
Cinnamon powder (ground);Cannelle en poudre
Cinnamon stick;Baton de cannelle
Cinnamon syrup;Sirop de cannelle
Citric acid (10%) solution;Jus de citron
ClǸment Sirop de Canne;Sirop de canne
Clamato juice;Jus Clamato (tomate + palourde)
Claret wine (Bordeaux red);Vin rouge
Clear apple juice (not cloudy);Jus de pomme
Clove;Clou de girofle
Clove & quince syrup (homemade);Sirop girofle-coing
Cockburn's Ruby Soho Port;Porto
Cockburn's Tawny Eyes Port;Porto
