Original;French_normalise
J�germeister or other German amaro;Jägermeister
Jalapeno slice;Jalapeno
Jamaican-style aged blended rum with funk;Rhum brun
Japanese blended whisky;Whisky
Jasmine sugar syrup;Sirop de jasmin
Jasmine tea (cold);Thé au jasmin
Jasmine tea sugar syrup;Sirop de thé au jasmin
Jerry Thomas bitters;Bitters Angostura
Joseph Cartron Double Cr�me de Cassis de Bourgogne;Crème de cassis
Kaffir lime (fresh fruit);Combava
Kaffir lime flavoured vodka;Vodka aromatisée combava
Ketel One Citroen Vodka;Vodka citron
Ketel One Cucumber & Mint;Vodka concombre-menthe
Ketel One Grapefruit & Rose;Vodka pamplemousse-rose
Ketel One Oranje Vodka;Vodka Orange
Ketel One Peach & Orange Blossom;Vodka pêche-fleur d'oranger
Ketel One Vodka;Vodka
Kirschwasser (cherry) eau-de-vie;Eau-de-vie de cerise
Kiwi fruit (fresh);Kiwi 
Kiwi fruit puree;Purée de kiwi
Kiwi sugar syrup;Sirop de kiwi
Kombucha;Kombucha
Krupnik spiced honey liqueur;Liqueur miel
Kummel liqueur;Liqueur aneth
Kumquat liqueur;Liqueur de kumquat
Kuromitsu/kokuto/Japanese black sugar syrup;Sirop de sucre
Kwai Feh lychee liqueur;Liqueur de litchi
La F�e Absinthe Blanche;Absinthe blanche
La F�e Parisienne absinthe;Absinthe verte
La Vieille Prune plum brandy;Eau-de-vie de prune
Lapponia Lakka Cloudberry;Liqueur de mère arctique
Lapsang souchong sugar syrup;Sirop de thé Lapsang souchong
Lapsang Souchong tea (cold);Thé Lapsang souchong froid
Lapsang Souchong tea liqueur;Liqueur de thé Lapsang souchong
Lavender sugar syrup;Sirop de lavande
Lemon (fresh);Citron
Lemon curd;Confiture de citron
Lemon juice (freshly squeezed);Jus de citron
Lemon oleo saccharum (homemade);Oleo-saccharum citron (maison)
Lemon peel;Zeste de citron
Lemon sorbet;Sorbet citron
Lemon syrup (glasco citron);Sirop de citron
Lemon thyme (remove stalks);Thym citron
Lemonade;Limonade
Lemongrass stem;Tige de citronnelle
Lemongrass syrup;Sirop de citronnelle
Lemon-lime soda (Sprite/7-Up);Sprite
L'Esprit De June Liqueur;Liqueur L'Esprit de June
Licor 43 Original liqueur;Liqueur Licor 43 Original
Light vermouth amaro (e.g. Cardamaro);Amaro
Light white rum (charcoal-filtered 1-4 years old);Rhum blanc
Lillet-style Ros� light quinquina;Rosé
Lillet-style Rouge light quinquina;Lillet rouge
Lime & lemongrass cordial;Sirop citron vert & citronnelle
Lime (fresh);Citron vert
Lime cordial (sweetened lime juice);Cordial de citron vert
Lime juice (burnt);Jus de citron vert
Lime juice (freshly squeezed);Jus de citron vert
Lime oleo saccharum (homemade);Oleo-saccharum citron vert (maison)
Lime shell (squeezed/spent lime husk);Coque de citron vert pressé
Liquore Strega;Liqueur Strega
Liquorice liqueur;Liqueur de réglisse
Lowland single malt scotch whisky;Whisky
Lucano amaro;Amaro
Lustau Amontillado Los Arcos Sherry;Vin rouge
Lustau East India Solera Cream Sherry;Vin rouge
Lustau Emil�n Moscatel Sherry;Vin rouge
Lustau Jarana Fino Sherry;Vin rouge
Lustau Manzanilla Papirusa Sherry;Vin rouge
Lustau Oloroso Don Nu�o Sherry;Vin rouge
Lustau Palo Cortado Pen�nsula Sherry;Vin rouge
Lustau San Emilio Pedro Xim�nez Sherry;Vin rouge
Luxardo Bitter Bianco liqueur;Liqueur Luxardo Bitter Bianco
Luxardo Maraschino liqueur;Liqueur marasquin
Luxardo Sour Cherry Gin;Gin cerise
Lychee juice drink;Jus de litchi
Lychee rose tea;Thé litchi-rose
Lychee/litchi syrup;Sirop de litchi
Macadamia nut syrup;Sirop de macadamia
Malbec red wine;Vin rouge 
Malibu Original coconut rum liqueur;Malibu
Malt extract;Extrait de malt
Malt vinegar;Vinaigre de malt
Mancino Vermouth di Torino Chinato;Vermouthrouge
Mandarin soda;Soda mandarine
Mandarine Napoleon liqueur;Liqueur Mandarine
Mango pur�e;Purée de mangue
Maple bitters;Bitters érable
Maple shrub (1:1.2 cider vinegar to maple syrup);Shrub érable (vinaigre cidre/sirop érable 1:1.2)
Maple syrup;Sirop d'érable
Maraschino cherry (from jar in syrup);Cerise marasquin en sirop
Marinated pineapple wedges;Morceaux d'ananas
Marsala Secco (dry);Marsala sec
Marsala semisecco (medium);Marsala semisec
Martini Riserva Speciale Bitter;Bitter Martini Riserva Speciale
Mascarpone cheese;Mascarpone
Mastiha liqueur;Liqueur Mastiha
Mead;Hydromel
Mediterranean tonic water;Tonic
Medium dry apple cider;Cidre
